late_base_gate_id,support_class,side,group_id,group_size,obs_window,execution_rule,execution_rule_label,train_active_days,test_active_days,n_eff_train,p_star_exact,subgroup_threshold_prob,sigma_train_raw,sigma_train_lcb,sigma_test_raw,rho_train_raw,rho_train_lcb,rho_test_raw,p_exact_train_raw_late,p_exact_train_lcb,p_exact_test_raw_late,rho_needed_at_sigma_lcb,late_minus_control_exact_train,late_minus_control_exact_test,recent182_days,recent182_exact_mean,recent182_exact_lcb,recent182_control_mean,recent182_control_diff,recent91_days,recent91_exact_mean,recent91_exact_lcb,recent91_control_mean,recent91_control_diff,daily_window,control_base_gate_id,p_exact_train_raw_control,p_exact_test_raw_control
late|big|edge_low|same_top1_prev=all,late,big,edge_low,2,384,front_pair_major_margin_and_side,front pair major margin and side,262,85,2,0.08841951026361577,0.1817303467017525,0.22328244274809161,0.17743320610687022,0.21176470588235294,0.47101449275362317,0.35507246376811596,0.45454545454545453,0.10114503816793893,0.06870229007633588,0.09411764705882353,0.4983256077239545,0.025768153745828387,-0.0011204481792717047,85,0.09411764705882353,0.041176470588235294,0.09523809523809523,-0.0011204481792717047,85,0.09411764705882353,0.041176470588235294,0.09523809523809523,-0.0011204481792717047,False,control|big|edge_low|same_top1_prev=all,0.07537688442211055,0.09523809523809523
late|big|edge_low|same_top1_prev=all,late,big,edge_low,2,384,front_pair_major_margin_q75_only,front pair major margin q75 only,889,253,2,0.08841951026361577,0.1817303467017525,0.20959880014998125,0.1867172853393326,0.2015810276679842,0.4942528735632184,0.43358876117496803,0.4492753623188406,0.10348706411698538,0.0860517435320585,0.08893280632411067,0.4735475352639455,0.006355382239540797,-0.008289415898111552,182,0.09340659340659341,0.06041666666666667,0.09340659340659341,0.0,91,0.09340659340659341,0.04395604395604396,0.04395604395604396,0.04945054945054945,False,control|big|edge_low|same_top1_prev=all,0.09713168187744459,0.09722222222222222
late|big|edge_low|same_top1_prev=all,late,big,edge_low,2,384,front_pair_major_side_q75_only,front pair major side q75 only,974,268,2,0.08841951026361577,0.1817303467017525,0.21885694729637234,0.19558521560574949,0.1884328358208955,0.45729537366548045,0.398576512455516,0.42142857142857143,0.09924709103353867,0.08213552361396304,0.07835820895522388,0.4520766561509804,0.004753974638044306,-0.02260332950631458,182,0.08333333333333334,0.04945054945054945,0.11263736263736264,-0.029304029304029297,91,0.11355311355311357,0.05860805860805861,0.08791208791208792,0.025641025641025647,False,control|big|edge_low|same_top1_prev=all,0.09449311639549436,0.10096153846153846
late|big|edge_low|same_top1_prev=all,late,big,edge_low,2,576,front_pair_major_any_info,front pair major any info,1766,467,3,0.089576406726893,0.18565540131876168,0.2129105322763307,0.20195828614571534,0.2012847965738758,0.4973929236499069,0.46814245810055866,0.5304347826086957,0.10570026425066062,0.09777274443186107,0.10563882940756601,0.4435391507643442,0.006606266515666287,0.000713775874375433,182,0.10256410256410255,0.07875457875457875,0.07142857142857142,0.031135531135531122,91,0.11355311355311354,0.07692307692307691,0.06593406593406594,0.0476190476190476,True,control|big|edge_low|same_top1_prev=all,0.09909399773499433,0.10492505353319058
late|big|edge_low|same_top1_prev=all,late,big,edge_low,2,576,front_pair_major_consensus_only,front pair major consensus only,1575,401,2,0.08841951026361577,0.1817303467017525,0.21555555555555556,0.19947089947089944,0.19866999168744803,0.5077519379844961,0.4680232558139535,0.5409836065573771,0.11037037037037035,0.09724603174603173,0.10723192019950124,0.44327022386799425,0.019261698581127765,-0.00830592840607644,182,0.11904761904761904,0.08150183150183149,0.11538461538461539,0.00366300366300365,91,0.13736263736263737,0.07692307692307693,0.0989010989010989,0.03846153846153848,True,control|big|edge_low|same_top1_prev=all,0.09110867178924259,0.11553784860557768
late|big|edge_low|same_top1_prev=all,late,big,edge_low,2,576,front_pair_major_margin_and_consensus,front pair major margin and consensus,534,146,2,0.08841951026361577,0.1817303467017525,0.20037453183520595,0.17009987515605493,0.23515981735159813,0.5040650406504065,0.4146341463414634,0.5675675675675675,0.09862671660424467,0.07552278401997502,0.1324200913242009,0.5198093777699541,0.018269573747101808,0.019516865517749296,146,0.1324200913242009,0.08105022831050228,0.11290322580645161,0.019516865517749296,91,0.13553113553113552,0.07504578754578754,0.11290322580645161,0.02262790972468391,False,control|big|edge_low|same_top1_prev=all,0.08035714285714286,0.11290322580645161
late|big|edge_low|same_top1_prev=all,late,big,edge_low,2,576,front_pair_major_margin_and_side,front pair major margin and side,253,83,2,0.08841951026361577,0.1817303467017525,0.20948616600790515,0.16205533596837945,0.214859437751004,0.525,0.4,0.631578947368421,0.10869565217391304,0.07312252964426877,0.13855421686746988,0.5456130755291412,0.02322556670382757,0.027443105756358777,83,0.13855421686746988,0.07228915662650602,0.1111111111111111,0.027443105756358777,83,0.13855421686746988,0.06626506024096386,0.1111111111111111,0.027443105756358777,False,control|big|edge_low|same_top1_prev=all,0.08547008547008547,0.1111111111111111
late|big|edge_low|same_top1_prev=all,late,big,edge_low,2,576,front_pair_major_margin_q75_only,front pair major margin q75 only,888,257,2,0.08841951026361577,0.1817303467017525,0.1856231231231231,0.16385135135135134,0.23281452658884563,0.49145299145299143,0.4280270655270655,0.5133333333333333,0.0897147147147147,0.07375656906906906,0.1251621271076524,0.5396324750109334,-0.007350748039235633,0.017724110578726776,182,0.13003663003663002,0.08791208791208792,0.10743801652892562,0.022598613507704396,91,0.16300366300366298,0.09702380952380951,0.10989010989010989,0.05311355311355309,False,control|big|edge_low|same_top1_prev=all,0.09706546275395034,0.10743801652892562
late|big|edge_low|same_top1_prev=all,late,big,edge_low,2,576,front_pair_major_side_q75_only,front pair major side q75 only,998,273,2,0.08841951026361577,0.1817303467017525,0.22545090180360722,0.20290163660654642,0.18864468864468864,0.459866220735786,0.40301003344481606,0.47794117647058826,0.10521042084168336,0.08800935203740815,0.09035409035409035,0.4357752443124602,0.015690770186661526,0.00339756861495992,182,0.097985347985348,0.06135531135531135,0.08695652173913043,0.011028826246217566,91,0.12087912087912088,0.06776556776556776,0.0989010989010989,0.021978021978021983,False,control|big|edge_low|same_top1_prev=all,0.08951965065502183,0.08695652173913043
late|small|center|same_top1_prev=all,late,small,center,1,192,front_singleton_always,front singleton always,1766,467,3,0.089576406726893,0.089576406726893,0.10192525481313704,0.09362023405058512,0.09421841541755889,1.0,1.0,1.0,0.10192525481313704,0.09362023405058512,0.09421841541755889,0.9568060541110467,-0.00018875047187616456,-0.012134189864382569,182,0.07692307692307691,0.05311355311355311,0.1043956043956044,-0.027472527472527486,91,0.08424908424908424,0.05128205128205127,0.10989010989010989,-0.025641025641025647,False,control|small|center|same_top1_prev=all,0.1021140052850132,0.10635260528194146
