candidate_id,baseline_name,preview_cut,lookback_weeks,prior_strength,score_mode,daily_issue_cap,allowed_sums_json,slot_blacklist_json,gate_family,raw_high_threshold,mean_sum_threshold,mid_share_threshold,mean_edge_cap,avg_daily_real_pnl_train,train_bootstrap_ci_low_real,avg_daily_real_pnl_test,test_bootstrap_ci_low_real,test_positive_day_rate,avg_bets_per_day_test,recent30_avg_daily_real_pnl,recent30_bootstrap_ci_low_real,recent60_avg_daily_real_pnl,recent60_bootstrap_ci_low_real,recent120_avg_daily_real_pnl,recent120_bootstrap_ci_low_real,post_2026_01_12_avg_daily_real_pnl,post_2026_01_12_bootstrap_ci_low_real,test_exposure_reduction_pct,acceptance_met,tail_test_bootstrap_ci_low_real,tail_recent30_bootstrap_ci_low_real,tail_recent60_bootstrap_ci_low_real,delta_vs_tail_test_ci_low,delta_vs_tail_recent30_ci_low,delta_vs_tail_recent60_ci_low
intraday_1572,base_stable_008,288,39,80,lcb2,4,"[9, 10, 11, 12, 13]","[919, 7]",high_mean,0.04,11.05,0.0,0.93,0.10987734021949647,-0.019293092317624255,0.22246835443037977,0.0012341772151898927,0.056962025316455694,0.5548523206751055,0.18666666666666662,-0.8957083333333333,0.34666666666666673,-0.6435624999999999,0.5333333333333333,-0.15560416666666657,0.5663265306122449,-0.1545408163265306,0.7697022767075307,False,-0.03445938818565387,-0.7412916666666665,-0.2578333333333333,0.03569356540084376,-0.15441666666666687,-0.3857291666666666
intraday_1611,base_stable_008,288,39,80,lcb2,4,"[9, 10, 11, 12, 13]","[919, 7]",high_mean,0.04,11.0,0.0,0.96,0.1238863783085862,0.008155261459005842,0.2266877637130802,0.0033438818565401044,0.06118143459915612,0.6033755274261603,0.18666666666666662,-0.8959999999999998,0.29000000000000004,-0.7017083333333333,0.49083333333333334,-0.11658333333333325,0.5316326530612245,-0.23392857142857137,0.7495621716287215,False,-0.03445938818565387,-0.7412916666666665,-0.2578333333333333,0.03780327004219397,-0.15470833333333334,-0.44387499999999996
intraday_0963,base_stable_020,192,39,120,lcb2,4,"[9, 10, 11, 12, 13]","[919, 7]",high_mean,0.02,11.05,0.0,0.93,0.12672692059393156,-0.026322627501613908,0.350210970464135,0.07532172995780596,0.10759493670886076,1.0864978902953586,0.45499999999999996,-0.8999999999999999,0.5975000000000001,-0.2605624999999999,0.6754166666666666,0.026875000000000013,0.8494897959183675,-0.0015561224489795927,0.6124905944319037,False,-0.04308808016877632,-0.85225,-0.3385624999999998,0.11840981012658228,-0.04774999999999996,0.0779999999999999
intraday_1002,base_stable_020,192,39,120,lcb2,4,"[9, 10, 11, 12, 13]","[919, 7]",high_mean,0.02,11.0,0.0,0.96,0.12666236281471918,-0.021003873466752733,0.34103375527426155,0.0752663502109705,0.11392405063291139,1.1751054852320675,0.45499999999999996,-0.9007083333333332,0.5408333333333335,-0.4135208333333332,0.6258333333333331,-0.03334375,0.814795918367347,-0.0026785714285713674,0.580887885628292,False,-0.04308808016877632,-0.85225,-0.3385624999999998,0.11835443037974683,-0.04845833333333327,-0.0749583333333334
intraday_1130,base_stable_020,288,39,120,lcb2,4,"[9, 10, 11, 12, 13]","[919, 7]",high_only,0.04,0.0,0.0,0.96,0.13353776630083927,-0.004016300839251117,0.23428270042194096,-0.004978902953586506,0.06329113924050633,0.620253164556962,0.18666666666666662,-0.9024999999999997,0.29000000000000004,-0.6747083333333332,0.49083333333333334,-0.14369791666666656,0.5316326530612245,-0.24667091836734692,0.7425569176882663,False,-0.008860759493670824,-0.7952499999999999,-0.4383333333333333,0.003881856540084318,-0.10724999999999985,-0.23637499999999995
intraday_1573,base_stable_008,288,39,80,lcb2,4,"[9, 10, 11, 12, 13]","[919, 7]",high_mean,0.04,11.1,0.0,0.93,0.11468689477081989,-0.004790994189799864,0.22025316455696203,0.0023048523206751314,0.05485232067510549,0.5316455696202531,0.18666666666666662,-0.9066666666666665,0.28666666666666674,-0.6774583333333332,0.5033333333333333,-0.12262499999999997,0.5295918367346939,-0.22135204081632642,0.7793345008756567,False,-0.03445938818565387,-0.7412916666666665,-0.2578333333333333,0.036764240506328996,-0.16537500000000005,-0.41962499999999986
intraday_1125,base_stable_020,288,39,120,lcb2,4,"[9, 10, 11, 12, 13]","[919, 7]",high_mean,0.02,11.15,0.0,0.96,0.11969012265978053,0.008875080697224027,0.2928270042194093,0.05452267932489453,0.06751054852320675,0.6033755274261603,0.18666666666666662,-0.9066666666666665,0.17000000000000004,-0.7025833333333333,0.4879166666666667,-0.1946145833333333,0.6010204081632654,-0.19039540816326522,0.7495621716287215,False,-0.008860759493670824,-0.7952499999999999,-0.4383333333333333,0.06338343881856535,-0.11141666666666661,-0.26425000000000004
intraday_0960,base_nsum_00120,576,39,120,lcb164,8,"[3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19]",[],mid_only,0.0,0.0,0.5,1.0,0.018205293737895423,-0.08518237572627502,-0.06782700421940929,-0.2343037974683544,0.02109704641350211,0.41561181434599154,-0.425,-0.9066666666666665,-0.4233333333333333,-0.9070208333333333,-0.18333333333333332,-0.4525208333333333,-0.18979591836734697,-0.5445025510204082,0.8542899408284024,False,-0.2215638185654008,-2.481041666666666,-1.2182499999999998,-0.012739978902953586,1.5743749999999996,0.31122916666666656
intraday_0013,base_nsum_00072,192,39,20,lcb164,8,"[3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19]",[],high_mean,0.04,11.1,0.0,0.93,-0.1383795997417689,-0.2491082956746288,0.4180379746835443,0.01876054852320677,0.08438818565400844,1.0886075949367089,2.228333333333333,-0.9066666666666666,1.3466666666666667,-0.46395833333333325,0.7554166666666666,-0.2953229166666666,0.9678571428571427,-0.2615433673469387,0.8127721335268505,False,0.06882911392405074,-2.606083333333333,-1.5680624999999997,-0.050068565400843965,1.6994166666666661,1.1041041666666664
intraday_1463,base_stable_008,192,39,80,lcb2,4,"[9, 10, 11, 12, 13]","[919, 7]",high_mean,0.06,11.15,0.0,0.93,0.10458360232408005,-0.009840219496449306,0.2878691983122363,0.04944883966244727,0.06118143459915612,0.5822784810126582,0.2716666666666666,-0.9066666666666666,0.38583333333333336,-0.4795,0.57875,-0.029593749999999974,0.6790816326530612,-0.01566326530612241,0.7923250564334086,False,-0.045176687763712975,-0.7677083333333331,-0.44179166666666664,0.09462552742616025,-0.13895833333333352,-0.037708333333333344
